RXCUI,drug_name,therapeutic_subgroup,n_plans_total,rate_pa,rate_st,rate_ql,rate_pa_only,rate_pa_st,rate_pa_ql,rate_triple,rate_none,n_plans_pa,n_plans_st,n_plans_ql,n_plans_triple
311354,lisinopril 5 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,5085,0.0,0.0,0.16460176991150444,0.0,0.0,0.0,0.0,0.8353982300884956,0,0,837,0
311353,lisinopril 2.5 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,5085,0.0,0.0,0.16460176991150444,0.0,0.0,0.0,0.0,0.8353982300884956,0,0,837,0
311347,linezolid 600 MG Oral Tablet,ANTIBACTERIALS FOR SYSTEMIC USE,5085,0.12173058013765978,0.0,0.823992133726647,0.05132743362831858,0.0,0.0704031465093412,0.0,0.12468043264503441,619,0,4190,0
311345,linezolid 20 MG/ML Oral Suspension,ANTIBACTERIALS FOR SYSTEMIC USE,5002,0.13754498200719711,0.0,0.821671331467413,0.06657337065173931,0.0,0.07097161135545782,0.0,0.11175529788084766,688,0,4110,0
311296,levofloxacin 750 MG Oral Tablet,ANTIBACTERIALS FOR SYSTEMIC USE,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311290,levetiracetam 750 MG Oral Tablet,ANTIEPILEPTICS,5085,0.0,0.0,0.0029498525073746312,0.0,0.0,0.0,0.0,0.9970501474926253,0,0,15,0
311289,levetiracetam 500 MG Oral Tablet,ANTIEPILEPTICS,5084,0.0,0.0,0.002950432730133753,0.0,0.0,0.0,0.0,0.9970495672698663,0,0,15,0
311288,levetiracetam 250 MG Oral Tablet,ANTIEPILEPTICS,5085,0.0,0.0,0.0029498525073746312,0.0,0.0,0.0,0.0,0.9970501474926253,0,0,15,0
311286,levalbuterol 0.21 MG/ML Inhalation Solution,,2929,0.99863434619324,0.0,0.1488562649368385,0.8497780812564015,0.0,0.1488562649368385,0.0,0.0013656538067599864,2925,0,436,0
311355,lithium carbonate 150 MG Oral Capsule,,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
